tweet_id,retweets,favorites,followers,friends,source_device
892420643555336193,7335,34960,8989897,16,Twitter for iPhone
892177421306343426,5473,30267,8989897,16,Twitter for iPhone
891815181378084864,3621,22778,8989897,16,Twitter for iPhone
891689557279858688,7525,38232,8989897,16,Twitter for iPhone
891327558926688256,8096,36498,8989897,16,Twitter for iPhone
891087950875897856,2713,18416,8989897,16,Twitter for iPhone
890971913173991426,1755,10713,8989897,16,Twitter for iPhone
890729181411237888,16445,58868,8989897,16,Twitter for iPhone
890609185150312448,3763,25338,8989897,16,Twitter for iPhone
890240255349198849,6366,28916,8989897,16,Twitter for iPhone
890006608113172480,6396,27893,8989897,16,Twitter for iPhone
889880896479866881,4338,25354,8989897,16,Twitter for iPhone
889665388333682689,8717,43515,8989897,16,Twitter for iPhone
889638837579907072,3895,24463,8989897,16,Twitter for iPhone
889531135344209921,1963,13787,8989897,16,Twitter for iPhone
889278841981685760,4634,22838,8989897,16,Twitter for iPhone
888917238123831296,3904,26450,8989897,16,Twitter for iPhone
888804989199671297,3693,23222,8989897,16,Twitter for iPhone
888554962724278272,3004,17897,8989897,16,Twitter for iPhone
888078434458587136,3030,19787,8989897,16,Twitter for iPhone
887705289381826560,4709,27516,8989897,16,Twitter for iPhone
887517139158093824,10254,42094,8989897,16,Twitter for iPhone
887473957103951883,15663,62212,8990282,16,Twitter for iPhone
887343217045368832,9188,30546,8989897,16,Twitter for iPhone
887101392804085760,5203,27855,8989897,16,Twitter for iPhone
886983233522544640,6654,31530,8989897,16,Twitter for iPhone
886736880519319552,2763,10840,8989897,16,Twitter for iPhone
886680336477933568,3902,20415,8989897,16,Twitter for iPhone
886366144734445568,2760,19170,8989897,16,Twitter for iPhone
886267009285017600,3,107,8989897,16,Twitter for iPhone
886258384151887873,5507,25394,8989897,16,Twitter for iPhone
886054160059072513,96,0,8989897,16,Twitter for iPhone
885984800019947520,5852,29565,8989897,16,Twitter for iPhone
885528943205470208,5571,32638,8989897,16,Twitter for iPhone
885518971528720385,3256,18599,8989897,16,Twitter for iPhone
885311592912609280,16104,0,8989897,16,Twitter for iPhone
885167619883638784,3814,19847,8990282,16,Twitter for iPhone
884925521741709313,15734,69758,8989897,16,Twitter for iPhone
884876753390489601,4874,25242,8989897,16,Twitter for iPhone
884562892145688576,4093,22059,8989897,16,Twitter for iPhone
884441805382717440,4967,24627,8989897,16,Twitter for iPhone
884247878851493888,17700,65717,8989897,16,Twitter for iPhone
884162670584377345,2611,18526,8989897,16,Twitter for iPhone
883838122936631299,2982,19833,8989897,16,Twitter for iPhone
883482846933004288,8615,41595,8989897,16,Twitter for iPhone
883360690899218434,3210,20592,8989897,16,Twitter for iPhone
883117836046086144,5781,33654,8989897,16,Twitter for iPhone
882992080364220416,3379,21691,8989897,16,Twitter for iPhone
882762694511734784,4262,25637,8989897,16,Twitter for iPhone
882627270321602560,5286,25468,8989897,16,Twitter for iPhone
882268110199369728,10086,40601,8989897,16,Twitter for iPhone
882045870035918850,4241,26595,8989897,16,Twitter for iPhone
881906580714921986,2967,22132,8989897,16,Twitter for iPhone
881666595344535552,9316,46037,8989897,16,Twitter for iPhone
881633300179243008,8,113,8989897,16,Twitter for iPhone
881536004380872706,13968,44889,8990282,16,Twitter for iPhone
881268444196462592,4640,21165,8989897,16,Twitter for iPhone
880935762899988482,2440,15543,8989897,16,Twitter for iPhone
880872448815771648,3332,19353,8989897,16,Twitter for iPhone
880465832366813184,5424,25822,8989897,16,Twitter for iPhone
880221127280381952,3622,24477,8989897,16,Twitter for iPhone
880095782870896641,3792,25108,8989897,16,Twitter for iPhone
879862464715927552,3039,20351,8989897,16,Twitter for iPhone
879674319642796034,10,287,8989897,16,Twitter for iPhone
879492040517615616,2765,21368,8989897,16,Twitter for iPhone
879415818425184262,38988,96027,8989897,16,Twitter for iPhone
879376492567855104,2739,15335,8989897,16,Twitter for iPhone
879130579576475649,5963,0,8989897,16,Twitter for iPhone
879050749262655488,4123,20502,8989897,16,Twitter for iPhone
879008229531029506,2341,17300,8989897,16,Twitter for iPhone
878776093423087618,3594,17656,8989897,16,Twitter for iPhone
878604707211726852,6179,27332,8989897,16,Twitter for iPhone
878404777348136964,1115,0,8989897,16,Twitter for iPhone
878316110768087041,5782,0,8989897,16,Twitter for iPhone
878281511006478336,1115,7021,8989897,16,Twitter for iPhone
878057613040115712,5963,38307,8989897,16,Twitter for iPhone
877736472329191424,16546,71856,8989897,16,Twitter for iPhone
877611172832227328,71,0,8989897,16,Twitter for iPhone
877556246731214848,3314,20639,8989897,16,Twitter for iPhone
877316821321428993,4557,24981,8989897,16,Twitter for iPhone
877201837425926144,4857,24650,8989897,16,Twitter for iPhone
876838120628539392,2921,18842,8989897,16,Twitter for iPhone
876537666061221889,4125,21673,8989897,16,Twitter for iPhone
876484053909872640,2075,17113,8989897,16,Twitter for iPhone
876120275196170240,4078,25520,8989897,16,Twitter for iPhone
875747767867523072,3747,22900,8989897,16,Twitter for iPhone
